Country,GDP (constant 2005 US$),GDP per capita (constant 2005 US$),"Population, total","Life expectancy at birth, female (years)","Literacy rate, adult total (% of people ages 15 and above)","Malnutrition prevalence, weight for age (% of children under 5)","Hospital beds (per 1,000 people)","Health expenditure, total (% of GDP)"
"Hong Kong SAR, China",2.20E+11,31328.58521,7024200,86,..,..,..,..
Hungary,1.09E+11,10926.46895,10000023,78.1,..,..,7.18,8.030180718
Iceland,16388138908,51528.38442,318041,84.1,..,..,..,9.430703922
India,1.24E+12,1031.561109,1205624648,67.469,..,..,..,3.690131224
Indonesia,3.78E+11,1570.152937,240676485,72.232,..,18.60000038,0.6,2.918069316
"Iran, Islamic Rep.",2.43E+11,3259.398723,74462314,75.098,..,..,..,7.282773849
Iraq,67270649065,2172.657563,30962380,72.599,..,..,1.3,3.129254465
Ireland,2.03E+11,44583.34411,4560155,83.1,..,..,3.15,9.311973478
Isle of Man,..,..,83992,..,..,..,..,..
Israel,1.69E+11,22169.40354,7623600,83.6,..,..,3.5,7.578701229
Italy,1.76E+12,29756.45498,59277417,85,..,..,3.53,9.407909964
Jamaica,..,..,2690824,75.509,..,3.200000048,1.8,5.283398721
Japan,4.65E+12,36472.74916,127450459,86.3,..,..,..,9.588990997
Jordan,17034536276,2817.488633,6046000,75.079,92.55104065,..,1.8,8.460714672
Kazakhstan,77245319067,4732.710579,16321581,73.32,..,3.700000048,..,4.2766423
Kenya,23525253226,575.0602964,40909194,61.161,..,..,1.4,4.38389124
Kiribati,110681568.6,1132.373353,97743,70.768,..,..,1.4,11.20579109
"Korea, Dem. Rep.",..,..,24500520,72.45,..,..,..,..
"Korea, Rep.",1.10E+12,22236.02324,49410366,84.07,..,..,..,7.29105849
Kosovo,4776327556,2689.858283,1775680,72,..,..,..,..
Kuwait,85606896366,28615.94755,2991580,75.131,..,1.700000048,..,2.785218726
Kyrgyz Republic,3055806771,560.9146224,5447900,73.5,..,..,..,6.657336208
Lao PDR,4021824832,628.8313487,6395713,68.245,..,..,0.72,2.616804626
Latvia,15502642580,7390.815774,2097555,78.4,..,..,5.32,6.486275947
Lebanon,30751708804,7083.864798,4341092,81.488,..,..,..,7.2444512
Lesotho,1749548111,870.8894532,2008921,47.739,..,..,..,10.76779794
Liberia,960255604.2,242.6119329,3957990,60.366,..,..,0.8,13.07026116
Libya,54963979226,9099.074601,6040612,76.767,..,..,..,3.304371694
Liechtenstein,..,..,36120,84.3,..,..,..,..
Lithuania,27476518251,8871.170998,3097282,78.8,..,..,6.75,7.046280786
Luxembourg,40696164752,80276.01129,506953,83.5,..,..,5.4,7.212038441
"Macao SAR, China",20684154509,38689.0172,534626,82.068,..,..,..,..
"Macedonia, FYR",7140636379,3396.718691,2102216,77.047,..,..,4.59,6.953317563
Madagascar,5759450979,273.2248031,21079532,64.852,..,..,0.2,4.487721316
Malawi,3874400290,258.0577631,15013694,53.52,61.3097229,13.80000019,..,8.458879211
Malaysia,1.79E+11,6318.901213,28275835,76.886,93.11788177,..,1.8,3.953653729
Maldives,1518834121,4663.377653,325694,77.865,..,..,..,5.787213553
Mali,6971653981,498.4751481,13985961,53.593,31.09975433,..,0.1,6.856087818
Malta,6715453854,16201.02351,414508,83.6,..,..,4.5,8.490283276
Marshall Islands,147320122,2809.951209,52428,..,..,..,2.7,16.02645409
Mauritania,2814034805,779.6362863,3609420,62.567,..,..,..,6.003272232
Mauritius,7826157632,6109.775156,1280924,76.65,..,..,..,5.409082049
Mexico,9.53E+11,8084.629,117886404,79.156,93.06893921,..,1.7,6.329852303
"Micronesia, Fed. Sts.",246418335.6,2378.119222,103619,69.494,..,..,..,13.84761669
Moldova,3501430332,982.9831829,3562045,72.422,..,..,..,11.67698407
Monaco,..,..,36845,..,..,..,..,4.400947041
Mongolia,3453733410,1273.154064,2712738,70.985,98.25700378,..,5.8,6.265469205
Montenegro,2803866144,4521.795878,620078,76.759,..,..,4,7.171915812
Morocco,75523499824,2348.586032,31642360,71.953,..,..,..,5.858854631
Mozambique,9127794919,380.844244,23967265,50.184,..,..,..,5.719644295
Myanmar,..,..,51931231,66.683,..,..,..,1.92028227
Namibia,8936748666,4101.369441,2178967,65.387,..,..,..,8.212061052
Nepal,10103288981,376.3422096,26846016,68.221,..,..,..,5.87074647
Netherlands,6.83E+11,41110.2784,16615394,82.7,..,..,..,12.06612941
New Caledonia,..,..,250000,78.827,..,..,..,..
New Zealand,1.21E+11,27742.44426,4367800,82.7,..,..,..,10.19949613
Nicaragua,7163269748,1230.335384,5822209,76.94,..,..,0.8,7.62291122
Niger,4381636015,275.6830274,15893746,57.127,..,..,..,6.913495589
Nigeria,1.59E+11,995.6802014,159707780,51.587,..,..,..,5.584956393
Northern Mariana Islands,..,..,53860,..,..,..,..,..
Norway,3.16E+11,64589.97466,4889252,83.2,..,..,3.3,10.03421969
Oman,41935096066,14962.02899,2802768,78.238,86.93899536,..,..,2.800742609
Pakistan,1.30E+11,748.0104878,173149306,66.994,55.37519073,..,0.6,2.994565529
Palau,180183623.8,8802.326519,20470,..,..,..,4.8,9.651569341
Panama,22603329668,6145.335254,3678128,79.964,94.09412384,..,2.4,8.525736386
Papua New Guinea,6553203636,955.4244327,6858945,64.158,..,..,..,4.106454361
Paraguay,11148152913,1725.7948,6459721,74.246,93.87091827,..,1.3,8.744816875
Peru,1.03E+11,3536.48854,29262830,76.673,..,..,1.5,4.878026126
Philippines,1.31E+11,1403.306336,93444322,71.726,..,..,..,4.22977561
Poland,3.83E+11,10035.85059,38183683,80.6,..,..,6.59,6.986057243
Portugal,1.97E+11,18647.75743,10573100,82.1,..,..,3.35,10.79703459
Puerto Rico,75077563801,20175.58916,3721208,82.141,91.96523285,..,..,..
Qatar,1.02E+11,58256.96679,1749713,79.047,96.28373718,..,..,2.092457073
Romania,1.14E+11,5634.894022,20246871,77.3,..,..,6.29,5.946308238
Russian Federation,9.09E+11,6385.773241,142385523,74.9,99.68426514,..,..,6.29969211
Rwanda,3785756661,349.3448635,10836732,63.739,65.85227203,11.69999981,..,10.79575165
Samoa,426326498.1,2291.720636,186029,75.641,..,..,..,6.411313043
San Marino,..,..,30861,86.12545455,..,..,..,5.296411424
Sao Tome and Principe,167926229.9,942.1989245,178228,67.841,..,..,..,7.067867016
Saudi Arabia,4.36E+11,15994.78056,27258387,76.94,..,..,..,4.039847099
Senegal,10366034228,800.4311031,12950564,64.296,..,..,..,4.814101023
Serbia,27876766883,3823.220403,7291436,76.6,..,1.600000024,..,10.73756728
Seychelles,1135149256,12645.08472,89770,77.5,..,..,..,3.69251856
Sierra Leone,2130751273,370.4381369,5751976,44.988,..,21.10000038,..,15.43094067
Singapore,1.76E+11,34758.40433,5076700,84,95.85733032,..,..,4.149554133
Sint Maarten (Dutch part),..,..,37850,..,..,..,..,..
Slovak Republic,77075641089,14295.96038,5391428,78.8,..,..,6.42,8.994956695
Slovenia,38970326905,19023.06468,2048583,82.7,..,..,4.57,8.871820148
Solomon Islands,522614190.2,992.7194765,526447,68.446,..,..,..,7.359237805
Somalia,..,..,9636173,55.655,..,..,..,..
South Africa,2.90E+11,5694.228587,50895698,56.144,92.87731934,..,..,8.707752148
South Sudan,..,..,9940929,54.494,..,..,..,2.092274826
Spain,1.18E+12,25317.96221,46576897,84.7,97.74889374,..,3.16,9.607383235
Sri Lanka,33253082140,1610.084837,20653000,76.915,91.18135834,..,..,3.432569935
St. Kitts and Nevis,554642952.9,10594.49406,52352,..,..,..,4.8,5.40780366
St. Lucia,1083804879,6109.488202,177397,77.14,..,..,..,7.771043568
St. Martin (French part),..,..,30235,82,..,..,..,..
St. Vincent and the Grenadines,589844929.9,5395.778568,109316,74.33,..,..,2.6,4.710561581
Sudan,35822262376,785.6977297,35652002,63.272,..,..,..,6.527208188
Suriname,2188868338,4169.590708,524960,73.682,94.67575073,5.800000191,3.1,5.807051305
Swaziland,2917342648,2445.080282,1193148,47.915,83.09828949,5.800000191,..,8.443518324
Sweden,4.02E+11,42825.67593,9378126,83.5,..,..,2.73,9.468765983
Switzerland,4.28E+11,54642.81108,7824909,84.5,..,..,4.97,10.88167099
Syrian Arab Republic,..,..,21532647,77.529,..,..,1.5,3.406754017
